Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
AXDX,"Accelerate Diagnostics, Inc.",10.44,588350000,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/axdx,
XLRN,Acceleron Pharma Inc.,90.39,5410000000,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xlrn,
ACN,Accenture plc,234.77,14950000000,2001.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn,
ACCO,Acco Brands Corporation,6.17,582830000,,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/acco,
ACCD,"Accolade, Inc.",32.65,160000000,2020.0,,,https://old.nasdaq.com/symbol/accd,
ARAY,Accuray Incorporated,2.26,204460000,2007.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aray,
ACRX,"AcelRx Pharmaceuticals, Inc.",1.07,96650000,2011.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrx,
ACER,Acer Therapeutics Inc.,2.16,25730000,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acer,
ACHV,"Achieve Life Sciences, Inc. ",7.98,28630000,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/achv,
ACIW,"ACI Worldwide, Inc.",24.66,2870000000,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aciw,
ACRS,"Aclaris Therapeutics, Inc.",2.16,92540000,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrs,
ACMR,"ACM Research, Inc.",66.36,120000000,2017.0,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acmr,
ACU,Acme United Corporation.,23.0501,7690000,1988.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acu,
ACNB,ACNB Corporation,20.88,181570000,,Finance,Major Banks,https://old.nasdaq.com/symbol/acnb,
ACOR,"Acorda Therapeutics, Inc.",0.45,21590000,2006.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/acor,
ATV,"Acorn International, Inc.",13.91,3590000,2007.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/atv,
ATNM,"Actinium Pharmaceuticals, Inc.",8.52,115750000,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/atnm,
ATVI,"Activision Blizzard, Inc",77.97,60180000000,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/atvi,
AYI,"Acuity Brands, Inc. ",104.44,4140000000,,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ayi,
GOLF,Acushnet Holdings Corp.,34.1,2530000000,2016.0,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/golf,
AFIB,"Acutus Medical, Inc.",34.24,939230000,2020.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/afib,
ADMS,"Adamas Pharmaceuticals, Inc.",4.3,121610000,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adms,
ADMP,Adamis Pharmaceuticals Corporation,0.7338,54980000,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/admp,
ADX,"Adams Diversified Equity Fund, Inc.",16.01,1740000000,,,,https://old.nasdaq.com/symbol/adx,
PEO,"Adams Natural Resources Fund, Inc.",10.93,325480000,,,,https://old.nasdaq.com/symbol/peo,
AE,"Adams Resources & Energy, Inc.",20.75,88030000,,Energy,Oil Refining/Marketing,https://old.nasdaq.com/symbol/ae,
AHCO,AdaptHealth Corp. ,21.99,1850000000,2018.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/ahco,
ADAP,Adaptimmune Therapeutics plc,7.94,1230000000,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adap,
ADPT,Adaptive Biotechnologies Corporation,40.23,5460000000,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adpt,
ADCT,ADC Therapeutics SA,38.68,2740000000,2020.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adct,
ADUS,Addus HomeCare Corporation,93.75,1470000000,2009.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/adus,
AEY,"ADDvantage Technologies Group, Inc.",2.04,24050000,,Consumer Services,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/aey,
AGRO,Adecoagro S.A.,5.11,602120000,2011.0,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/agro,
ADIL,"Adial Pharmaceuticals, Inc",1.27,17220000,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adil,
ADNT,Adient plc,18.04,1690000000,2016.0,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/adnt,
ADTX,"ADiTx Therapeutics, Inc.",1.87,17690000,2020.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adtx,
ADMA,ADMA Biologics Inc,2.24,193420000,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adma,
ADBE,Adobe Inc.,471.35,226090000000,1986.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adbe,
ADT,ADT Inc.,10.95,8440000000,2018.0,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/adt,
ATGE,Adtalem Global Education Inc.,29.04,1510000000,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/atge,
ADTN,"ADTRAN, Inc.",10.315,494690000,1994.0,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/adtn,
ADRO,"Aduro Biotech, Inc.",2.36,19130000,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adro,
AAP,Advance Auto Parts Inc,154.59,10690000000,,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aap,
ADSW,"Advanced Disposal Services, Inc.",30.19,2740000000,2016.0,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/adsw,
WMS,"Advanced Drainage Systems, Inc.",56.67,3940000000,2014.0,Capital Goods,Containers/Packaging,https://old.nasdaq.com/symbol/wms,
ADES,"Advanced Emissions Solutions, Inc.",3.86,71640000,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/ades,
AEIS,"Advanced Energy Industries, Inc.",58.84,2260000000,1995.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aeis,
AMD,"Advanced Micro Devices, Inc.",76.34,89630000000,,Technology,Semiconductors,https://old.nasdaq.com/symbol/amd,
ASIX,AdvanSix Inc.,12.25,343370000,2016.0,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/asix,
ADXS,"Advaxis, Inc.",0.4404,29170000,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxs,
AVK,Advent Convertible and Income Fund,13.9,47990000,2003.0,,,https://old.nasdaq.com/symbol/avk,
ADVM,"Adverum Biotechnologies, Inc.",11.89,1160000000,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/advm,
ACM,AECOM,38.29,6140000000,2007.0,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/acm,
AEGN,Aegion Corp,14.4,443110000,,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/aegn,
AGLE,"Aeglea BioTherapeutics, Inc.",6.95,309970000,2016.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agle,
AEG,Aegon NV,2.71,5560000000,,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeg,
AEHR,Aehr Test Systems,1.35,31440000,1997.0,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/aehr,
AMTX,"Aemetis, Inc",2.13,44670000,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/amtx,
AER,Aercap Holdings N.V.,28.01,3630000000,2006.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aer,
AERI,"Aerie Pharmaceuticals, Inc.",10.46,486540000,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/aeri,
ACY,AeroCentury Corp.,2.17,3350000,,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/acy,
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",40.26,3170000000,,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/ajrd,
AVAV,"AeroVironment, Inc.",63.95,1540000000,2007.0,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/avav,
ARPO,"Aerpio Pharmaceuticals, Inc.",1.21,5090000,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/arpo,
AIH,Aesthetic Medical International Holdings Group Ltd.,4.14,97760000,2019.0,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/aih,
AEZS,AEterna Zentaris Inc.,0.381,23880000,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aezs,
AEMD,"Aethlon Medical, Inc.",1.34,16170000,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aemd,
AMG,"Affiliated Managers Group, Inc.",66.52,310000000,,Finance,Investment Managers,https://old.nasdaq.com/symbol/amg,
AFMD,Affimed N.V.,3.43,289810000,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/afmd,
AFL,Aflac Incorporated,36.39,25940000000,,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/afl,
AFYA,Afya Limited,25.22,2350000000,2019.0,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/afya,
MITT,"AG Mortgage Investment Trust, Inc.",2.61,89350000,2011.0,,,https://old.nasdaq.com/symbol/mitt,
AGBA,AGBA Acquisition Limited,10.3,61540000,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/agba,
AGCO,AGCO Corporation,75.45,5650000000,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/agco,
UAVS,"AgEagle Aerial Systems, Inc.",2.72,155670000,,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/uavs,
AGEN,Agenus Inc.,4.99,915380000,2000.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/agen,
AGE,"AgeX Therapeutics, Inc.",0.8095,30510000,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/age,
AGRX,"Agile Therapeutics, Inc.",3.63,316890000,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agrx,
A,"Agilent Technologies, Inc.",98.6,3040000000,1999.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/a,
AGYS,"Agilysys, Inc.",24.3,573230000,,Technology,EDP Services,https://old.nasdaq.com/symbol/agys,
AGIO,"Agios Pharmaceuticals, Inc.",36.97,2550000000,2013.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agio,
AGMH,AGM Group Holdings Inc.,14.74,425850000,2018.0,Technology,EDP Services,https://old.nasdaq.com/symbol/agmh,
AGNC,AGNC Investment Corp.,14.11,7840000000,2008.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agnc,
AEM,Agnico Eagle Mines Limited,82.18,19850000000,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aem,
API,"Agora, Inc.",48.4,480000000,2020.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/api,
ADC,Agree Realty Corporation,66.52,3580000000,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/adc,
AGFS,"AgroFresh Solutions, Inc.",2.5,132190000,2014.0,Finance,Business Services,https://old.nasdaq.com/symbol/agfs,
AIKI,AIkido Pharma Inc.,0.5755,2010000,,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/aiki,
ALRN,"Aileron Therapeutics, Inc.",1.18,46330000,2017.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alrn,
AIMT,"Aimmune Therapeutics, Inc.",34.2,2240000000,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aimt,
AIRI,Air Industries Group,1.1,33680000,,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/airi,
AL,Air Lease Corporation,31.61,360000000,2011.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/al,
APD,"Air Products and Chemicals, Inc.",300.32,66340000000,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/apd,
AIRT,"Air T, Inc.",10.95,31560000,,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/airt,
ATSG,"Air Transport Services Group, Inc",24.485,1460000000,,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/atsg,
AIRG,"Airgain, Inc.",13.38,129170000,2016.0,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/airg,
ANTE,AirNet Technology Inc.,0.8365,10510000,,Technology,Advertising,https://old.nasdaq.com/symbol/ante,
AKAM,"Akamai Technologies, Inc.",106.49,17330000000,1999.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/akam,
AKTX,Akari Therapeutics Plc,1.6,53530000,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aktx,
AKCA,"Akcea Therapeutics, Inc.",18.14,1840000000,2017.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akca,
AKBA,"Akebia Therapeutics, Inc.",2.53,362590000,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akba,
KERN,Akerna Corp.,4.65,65370000,2018.0,Technology,EDP Services,https://old.nasdaq.com/symbol/kern,
AKRO,"Akero Therapeutics, Inc.",34.03,1180000000,2019.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akro,
AKER,Akers Biosciences Inc.,2.24,19540000,2014.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/aker,
AKUS,"Akouos, Inc.",25.83,887790000,2020.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akus,
AKTS,"Akoustis Technologies, Inc.",7.64,290840000,,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/akts,
ALG,"Alamo Group, Inc.",107.54,1280000000,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/alg,
AGI,Alamos Gold Inc.,9.69,3790000000,2015.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/agi,
ALRM,"Alarm.com Holdings, Inc.",55.935,2740000000,2015.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/alrm,
ALK,"Alaska Air Group, Inc.",40.33,4990000000,,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/alk,
ALSK,"Alaska Communications Systems Group, Inc.",2.16,115920000,1999.0,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/alsk,
AIN,Albany International Corporation,51.4,1660000000,,Basic Industries,Textiles,https://old.nasdaq.com/symbol/ain,
ALB,Albemarle Corporation,94.96,1010000000,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/alb,
ALAC,Alberton Acquisition Corporation,10.66,49210000,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/alac,
ACI,"Albertsons Companies, Inc.",14.15,6780000000,2020.0,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/aci,
ALBO,"Albireo Pharma, Inc.",38.48,576840000,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/albo,
AA,Alcoa Corporation,13.98,260000000,2016.0,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/aa,
ALC,Alcon Inc.,56.74,27750000000,2019.0,Health Care,Ophthalmic Goods,https://old.nasdaq.com/symbol/alc,
ALDX,"Aldeyra Therapeutics, Inc.",6.95,26850000,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aldx,
ALEC,"Alector, Inc.",13.0,1030000000,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/alec,
ALRS,Alerus Financial Corporation,21.94,375630000,2019.0,Finance,Major Banks,https://old.nasdaq.com/symbol/alrs,
ALEX,"Alexander & Baldwin, Inc.",10.8,781360000,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/alex,
ALX,"Alexander&#39;s, Inc.",250.01,1280000000,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/alx,
ARE,"Alexandria Real Estate Equities, Inc.",158.36,19970000000,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/are,
AXU,Alexco Resource Corp,2.81,384430000,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/axu,
ALXN,"Alexion Pharmaceuticals, Inc.",105.36,23090000000,1996.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alxn,
AQN,Algonquin Power & Utilities Corp.,13.92,8240000000,2016.0,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqn,
BABA,Alibaba Group Holding Limited,271.61,734880000000,2014.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/baba,
ALCO,"Alico, Inc.",30.35,227370000,,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/alco,
ALGN,"Align Technology, Inc.",317.66,25030000000,2001.0,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/algn,
ALIM,"Alimera Sciences, Inc.",5.53,27830000,2010.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alim,
ALYA,Alithya Group inc.,2.07,120230000,,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/alya,
ALJJ,"ALJ Regional Holdings, Inc.",0.91,38380000,,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/aljj,
ALKS,Alkermes plc,17.4,2770000000,1991.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alks,
ALLK,Allakos Inc.,77.43,3790000000,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/allk,
Y,Alleghany Corporation,549.57,7870000000,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/y,
ATI,Allegheny Technologies Incorporated,8.69,110000000,,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/ati,
ABTX,"Allegiance Bancshares, Inc.",24.87,508130000,2015.0,Finance,Major Banks,https://old.nasdaq.com/symbol/abtx,
ALGT,Allegiant Travel Company,133.08,2160000000,2006.0,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/algt,
ALLE,Allegion plc,97.97,9040000000,2013.0,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/alle,
ALNA,"Allena Pharmaceuticals, Inc.",1.1,41750000,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/alna,
ALE,"Allete, Inc.",50.75,2630000000,,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/ale,
ADS,Alliance Data Systems Corporation,45.25,2160000000,2001.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ads,
AFB,Alliance National Municipal Income Fund Inc,13.66,392660000,2002.0,,,https://old.nasdaq.com/symbol/afb,
ARLP,"Alliance Resource Partners, L.P.",3.12,396850000,1999.0,Energy,Coal Mining,https://old.nasdaq.com/symbol/arlp,
AWF,Alliance World Dollar Government Fund II,10.72,924380000,1993.0,,,https://old.nasdaq.com/symbol/awf,
AB,AllianceBernstein Holding L.P.,27.21,2620000000,,Finance,Investment Managers,https://old.nasdaq.com/symbol/ab,
LNT,Alliant Energy Corporation,51.86,12950000000,,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/lnt,
AIO,AllianzGI Artificial Intelligence & Tech Opp Fd,20.65,708770000,2019.0,,,https://old.nasdaq.com/symbol/aio,
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,9.08,165770000,2017.0,,,https://old.nasdaq.com/symbol/cbh,
