Date,FB_Open,FB_High,FB_Low,FB_Close,FB_Volume,FB_Dividends,FB_Stock Splits,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Volume,AAPL_Dividends,AAPL_Stock Splits,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Volume,AMZN_Dividends,AMZN_Stock Splits,NFLX_Open,NFLX_High,NFLX_Low,NFLX_Close,NFLX_Volume,NFLX_Dividends,NFLX_Stock Splits,GOOGL_Open,GOOGL_High,GOOGL_Low,GOOGL_Close,GOOGL_Volume,GOOGL_Dividends,GOOGL_Stock Splits,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Volume,MSFT_Dividends,MSFT_Stock Splits
2017-10-09,172.7,174.88,172.0,172.5,14570400,0,0,37.41,37.64,37.34,37.42,65051600,0.0,0.0,993.24,998.5,987.5,990.99,2938600,0,0,199.1,199.4,196.56,196.87,6971700,0,0,995.0,1000.46,991.5,992.31,1295500,0,0,72.64,73.2,72.54,72.95,11386500,0.0,0
2017-10-10,173.0,173.2,170.8,171.59,11341100,0,0,37.47,37.94,37.24,37.44,62468000,0.0,0.0,996.67,997.95,980.1,987.2,3084900,0,0,197.85,198.3,192.1,195.08,6233800,0,0,995.3,997.47,981.11,987.8,1163400,0,0,72.99,73.27,72.81,72.95,13944500,0.0,0
2017-10-11,171.95,172.78,171.4,172.74,11283700,0,0,37.45,37.7,37.4,37.59,67622400,0.0,0.0,991.27,995.5,986.7,995.0,2337100,0,0,195.57,196.22,193.81,194.95,6450200,0,0,989.04,1007.57,987.94,1005.65,1815000,0,0,73.02,73.11,72.62,73.07,15388900,0.0,0
2017-10-12,172.61,173.85,172.29,172.55,10351000,0,0,37.54,37.79,37.4,37.46,64500400,0.0,0.0,996.81,1008.44,992.4,1000.93,4067300,0,0,196.75,198.62,194.71,195.86,7753300,0,0,1003.84,1011.54,1001.1,1005.65,1530700,0,0,73.14,73.91,73.03,73.74,16876500,0.0,0
2017-10-13,173.45,174.65,173.2,173.74,13658300,0,0,37.64,37.77,37.56,37.7,65576800,0.0,0.0,1007.0,1007.77,1001.03,1002.94,2431500,0,0,199.7,200.82,197.19,199.49,12081300,0,0,1009.11,1014.76,1007.06,1007.87,1327600,0,0,74.19,74.46,73.91,74.1,15335700,0.0,0
2017-10-16,174.49,175.0,174.06,174.52,11498800,0,0,37.92,38.42,37.86,38.39,96486000,0.0,0.0,1008.44,1009.57,1001.04,1006.34,2008900,0,0,201.95,202.83,197.86,202.68,22105400,0,0,1009.63,1012.0,1001.52,1009.35,1071000,0,0,74.03,74.4,73.96,74.25,12380100,0.0,0
2017-10-17,174.71,176.13,174.36,176.11,15990100,0,0,38.37,38.63,38.24,38.53,75989200,0.0,0.0,1005.59,1011.47,1004.38,1009.13,2319700,0,0,200.11,204.38,197.77,199.48,23900100,0,0,1007.44,1014.56,1006.05,1011.0,1013000,0,0,74.08,74.22,73.87,74.19,16824000,0.0,0
2017-10-18,176.65,176.74,175.75,176.03,12752400,0,0,38.52,38.59,38.32,38.36,65496800,0.0,0.0,1009.27,1022.31,996.55,997.0,2499700,0,0,199.99,200.01,194.25,195.54,11198900,0,0,1011.05,1016.31,1005.32,1012.74,1279800,0,0,74.27,74.44,73.98,74.21,13300700,0.0,0
2017-10-19,174.93,176.03,172.63,174.56,14048400,0,0,37.64,37.72,37.23,37.46,170336800,0.0,0.0,990.0,991.05,980.24,986.61,3108200,0,0,193.01,195.25,191.16,195.13,7034600,0,0,1004.75,1007.32,997.3,1001.84,1714200,0,0,74.17,74.52,73.96,74.5,15092800,0.0,0
2017-10-20,175.5,175.88,174.63,174.98,12602200,0,0,37.61,37.88,37.45,37.52,95896400,0.0,0.0,993.53,994.62,982.0,982.91,2365100,0,0,195.9,196.38,193.77,194.16,5995600,0,0,1007.05,1008.65,1002.27,1005.07,1606000,0,0,74.89,75.51,74.8,75.36,22866400,0.0,0
2017-10-23,175.2,175.34,171.25,171.27,13852700,0,0,37.67,37.87,37.34,37.5,87937200,0.0,0.0,986.73,986.78,962.5,966.3,3494100,0,0,194.17,194.9,191.03,192.47,6980000,0,0,1005.18,1005.79,983.1,985.54,1639300,0,0,75.53,75.87,75.31,75.38,20627200,0.0,0
2017-10-24,172.3,173.24,171.5,171.8,12267900,0,0,37.53,37.8,37.51,37.72,71028800,0.0,0.0,969.0,979.85,965.0,975.9,2723900,0,0,192.75,196.74,191.4,196.02,7069100,0,0,986.5,989.26,977.08,988.49,1445100,0,0,75.45,75.73,75.02,75.41,17517200,0.0,0
2017-10-25,171.9,172.25,168.89,170.6,15868200,0,0,37.68,37.83,37.29,37.56,84828400,0.0,0.0,978.0,984.44,966.24,972.91,3033100,0,0,195.38,197.06,193.01,193.77,5315300,0,0,986.27,994.43,977.72,991.46,1528700,0,0,75.14,75.64,74.59,75.19,20410800,0.0,0
2017-10-26,171.38,172.29,170.39,170.63,11833100,0,0,37.76,37.9,37.65,37.8,68002000,0.0,0.0,980.33,982.9,968.55,972.43,5618700,0,0,194.66,197.61,194.08,195.21,5185800,0,0,998.47,1006.51,990.47,991.42,2369800,0,0,75.73,75.94,75.3,75.31,32120700,0.0,0
2017-10-27,174.15,178.21,173.9,177.88,30285300,0,0,38.25,39.29,38.11,39.15,177816800,0.0,0.0,1058.14,1105.58,1050.55,1100.95,16565000,0,0,197.2,200.65,196.22,199.54,8128600,0,0,1030.99,1063.62,1026.85,1033.67,5184100,0,0,80.68,82.43,79.95,80.14,71066700,0.0,0
2017-10-30,179.26,180.69,177.61,179.87,24353200,0,0,39.35,40.36,39.31,40.03,178803200,0.0,0.0,1095.01,1122.79,1093.56,1110.85,6613100,0,0,199.62,201.1,197.07,198.37,5439600,0,0,1029.16,1039.83,1022.33,1033.13,2340200,0,0,80.04,80.64,79.47,80.22,31756700,0.0,0
2017-10-31,180.57,180.8,178.94,180.06,20174200,0,0,40.32,40.74,40.09,40.59,144187200,0.0,0.0,1109.0,1110.54,1101.12,1105.28,3477000,0,0,198.21,198.59,195.22,196.43,5518600,0,0,1033.0,1041.0,1026.3,1033.04,1516300,0,0,80.67,80.67,79.47,79.54,27086600,0.0,0
2017-11-01,182.36,182.9,180.57,182.66,40918300,0,0,40.79,40.81,39.77,40.08,134551200,0.0,0.0,1105.4,1108.97,1096.74,1103.68,3755500,0,0,197.24,199.2,196.0,198.0,5017400,0,0,1036.32,1047.86,1034.0,1042.6,2163100,0,0,80.02,80.09,79.25,79.54,22307400,0.0,0
2017-11-02,180.63,181.94,177.34,178.92,35529900,0,0,40.01,40.46,39.69,40.37,165573600,0.0,0.0,1097.81,1101.94,1086.87,1094.22,3684900,0,0,197.45,199.44,197.09,199.32,3606300,0,0,1039.99,1045.52,1028.66,1042.97,1334700,0,0,79.7,80.76,79.48,80.37,23992900,0.0,0
2017-11-03,179.29,179.86,176.71,178.92,17822100,0,0,41.78,41.85,41.09,41.42,237594400,0.0,0.0,1091.15,1112.68,1088.52,1111.6,3751500,0,0,199.8,200.55,197.99,200.01,3678800,0,0,1042.75,1050.66,1037.65,1049.99,1388500,0,0,80.4,80.84,79.75,80.46,17633500,0.0,0
2017-11-06,178.56,180.45,178.31,180.17,13312700,0,0,41.39,42.02,41.24,41.84,140105200,0.0,0.0,1109.15,1125.41,1108.77,1120.66,3381100,0,0,200.0,202.48,198.09,200.13,5846600,0,0,1049.1,1052.59,1042.0,1042.68,914700,0,0,80.51,80.99,80.4,80.77,19860900,0.0,0
2017-11-07,180.5,180.75,178.96,180.25,12928200,0,0,41.76,42.08,41.69,41.98,97446000,0.0,0.0,1124.74,1130.6,1117.5,1123.17,2689000,0,0,200.0,200.61,194.8,195.89,6468000,0,0,1049.65,1053.41,1043.0,1052.39,1305200,0,0,81.06,81.18,80.26,80.58,17939700,0.0,0
2017-11-08,179.79,180.35,179.11,179.56,10494100,0,0,41.94,42.32,41.86,42.32,97638000,0.0,0.0,1122.82,1135.54,1119.11,1132.88,2581500,0,0,196.0,197.09,194.74,196.44,4237400,0,0,1050.05,1062.69,1047.05,1058.29,1213800,0,0,80.46,80.91,80.16,80.86,18034200,0.0,0
2017-11-09,178.31,179.4,177.09,179.3,12610300,0,0,42.05,42.29,41.58,42.23,117930400,0.0,0.0,1125.96,1129.62,1115.77,1129.13,3732700,0,0,194.46,194.49,190.81,193.9,5979900,0,0,1048.0,1050.88,1035.85,1047.72,1794600,0,0,80.43,80.58,79.27,80.41,21178400,0.0,0
2017-11-10,178.35,179.1,177.96,178.46,11070200,0,0,42.2,42.27,42.0,42.09,100582000,0.1575,0.0,1126.1,1131.75,1124.06,1125.35,2179900,0,0,191.61,192.59,189.5,192.02,6622200,0,0,1043.87,1046.63,1041.22,1044.15,972100,0,0,80.12,80.42,79.59,80.2,19397800,0.0,0
2017-11-13,177.5,179.04,177.3,178.77,9523400,0,0,41.81,42.05,41.79,41.93,67928400,0.0,0.0,1123.0,1139.9,1122.34,1129.17,2918400,0,0,191.12,196.05,191.0,195.08,4607000,0,0,1040.8,1048.74,1039.26,1041.2,940700,0,0,80.0,80.26,79.81,80.26,14196900,0.0,0
2017-11-14,178.13,178.97,177.18,178.07,9585900,0,0,41.7,41.81,41.25,41.29,99130000,0.0,0.0,1130.11,1138.0,1123.89,1136.84,3138400,0,0,193.64,195.88,193.0,195.71,3450500,0,0,1037.72,1042.3,1029.33,1041.64,1050600,0,0,79.84,80.42,79.35,80.37,18801300,0.0,0
2017-11-15,176.66,178.57,176.4,177.95,10253700,0,0,40.96,41.05,40.58,40.75,116632400,0.0,0.0,1127.01,1131.75,1121.63,1126.69,3928700,0,0,194.54,195.42,191.53,192.12,4203100,0,0,1035.0,1039.63,1030.76,1036.41,905300,0,0,80.22,80.43,79.47,79.75,19383100,0.42,0
2017-11-16,178.76,179.83,178.5,179.59,15607600,0,0,41.25,41.42,41.04,41.23,94550000,0.0,0.0,1130.16,1138.16,1130.05,1137.29,2213300,0,0,194.33,197.7,193.75,195.51,5678400,0,0,1038.75,1051.76,1038.0,1048.47,1188400,0,0,79.86,80.17,79.71,79.96,20962800,0.0,0
2017-11-17,179.3,179.98,178.9,179.0,13018000,0,0,41.22,41.3,40.88,41.01,87598000,0.0,0.0,1138.28,1138.8,1125.81,1129.88,2413400,0,0,195.74,195.95,192.65,193.2,3906300,0,0,1049.8,1051.0,1033.73,1035.89,1335600,0,0,79.88,79.88,79.03,79.19,22079000,0.0,0
2017-11-20,178.87,179.5,178.1,178.74,10052400,0,0,41.04,41.1,40.86,40.96,65049600,0.0,0.0,1129.77,1133.42,1122.55,1126.31,2163900,0,0,193.3,194.32,191.9,194.1,3827500,0,0,1036.0,1038.7,1032.68,1034.66,876300,0,0,79.19,79.37,79.04,79.31,16315000,0.0,0
2017-11-21,179.15,181.89,178.99,181.86,14504000,0,0,41.16,41.86,41.16,41.73,100525200,0.0,0.0,1132.86,1140.0,1128.2,1139.49,2479400,0,0,195.04,197.52,194.97,196.23,4787300,0,0,1040.04,1050.39,1039.14,1050.3,1110300,0,0,79.51,80.57,79.51,80.46,21237500,0.0,0
2017-11-22,181.3,181.73,180.44,180.87,10376300,0,0,41.78,42.17,41.7,42.16,102355600,0.0,0.0,1141.0,1160.27,1141.0,1156.16,3555300,0,0,196.58,196.75,193.63,196.32,5895400,0,0,1051.16,1055.43,1047.25,1051.92,726900,0,0,80.56,80.63,79.8,79.87,20553100,0.0,0
2017-11-24,180.4,183.15,180.29,182.78,9426300,0,0,42.2,42.29,42.09,42.17,56106800,0.0,0.0,1160.7,1186.84,1160.7,1186.0,3528000,0,0,196.65,196.9,195.33,195.75,2160500,0,0,1054.39,1060.07,1051.92,1056.52,824600,0,0,79.77,80.18,79.55,80.01,7425600,0.0,0
2017-11-27,182.56,183.73,181.99,183.03,12344500,0,0,42.19,42.19,41.77,41.95,82867200,0.0,0.0,1202.66,1213.41,1191.15,1195.83,6744000,0,0,195.56,195.85,194.0,195.05,3210100,0,0,1058.57,1073.04,1054.77,1072.01,1771500,0,0,80.06,80.71,80.05,80.6,18265200,0.0,0
2017-11-28,183.51,184.25,182.09,182.42,14379700,0,0,42.01,42.14,41.42,41.71,105715200,0.0,0.0,1204.88,1205.34,1188.52,1193.6,4559400,0,0,195.34,199.68,194.01,199.18,6981100,0,0,1073.99,1080.0,1054.54,1063.29,1821200,0,0,80.79,81.74,80.74,81.57,21926000,0.0,0
2017-11-29,181.89,181.97,174.0,175.13,41933500,0,0,41.6,41.67,40.28,40.84,166665600,0.0,0.0,1194.8,1194.8,1145.19,1161.27,9257500,0,0,198.91,199.03,184.32,188.15,14202700,0,0,1056.18,1058.77,1029.65,1037.38,2793300,0,0,81.41,81.61,79.94,80.09,27381100,0.0,0
2017-11-30,176.85,178.28,175.2,177.18,25307600,0,0,41.07,41.48,40.59,41.41,166108800,0.0,0.0,1167.1,1178.57,1160.0,1176.75,4509200,0,0,190.31,190.86,186.68,187.58,6630100,0,0,1039.94,1044.14,1030.07,1036.17,2254600,0,0,80.25,81.23,80.09,80.89,33054600,0.0,0
2017-12-01,176.03,177.48,172.34,175.1,20182500,0,0,40.96,41.37,40.61,41.22,159037200,0.0,0.0,1172.05,1179.65,1152.0,1162.35,4107100,0,0,186.99,189.8,185.0,186.82,6219500,0,0,1030.41,1037.24,1016.9,1025.07,1888100,0,0,80.34,81.5,79.98,80.98,29532100,0.0,0
2017-12-04,176.29,176.57,170.79,171.47,24459400,0,0,41.57,41.6,40.88,40.92,130169600,0.0,0.0,1173.85,1175.2,1128.0,1133.95,5931900,0,0,189.36,189.72,178.38,184.04,9069800,0,0,1027.8,1031.34,1009.22,1011.87,1938900,0,0,81.13,81.14,77.55,77.92,39094900,0.0,0
2017-12-05,170.45,175.38,169.01,172.83,20184900,0,0,40.74,41.34,40.58,40.88,109400800,0.0,0.0,1128.26,1159.27,1124.74,1141.57,4079800,0,0,183.5,188.14,181.19,184.21,5783700,0,0,1010.99,1036.68,1002.32,1019.6,1949900,0,0,78.17,79.46,77.82,78.41,26152300,0.0,0
2017-12-06,172.5,176.77,171.9,176.06,20255800,0,0,40.37,41.02,40.12,40.73,114240000,0.0,0.0,1137.99,1155.89,1136.08,1152.35,2853300,0,0,183.38,186.48,182.88,185.3,5490100,0,0,1016.52,1039.58,1015.31,1032.72,1435500,0,0,78.37,79.9,78.26,79.55,26162100,0.0,0
2017-12-07,175.8,180.39,175.8,180.14,20404500,0,0,40.74,41.07,40.71,40.81,102693200,0.0,0.0,1156.59,1163.19,1151.0,1159.79,2511600,0,0,185.71,187.34,183.22,185.2,4659500,0,0,1036.07,1048.92,1035.36,1044.57,1543300,0,0,79.32,79.57,78.8,79.27,23184500,0.0,0
2017-12-08,181.53,182.28,178.74,179.0,19883800,0,0,41.09,41.21,40.68,40.82,93420800,0.0,0.0,1170.4,1172.79,1157.1,1162.0,3050100,0,0,186.5,189.42,186.3,188.54,4987300,0,0,1051.81,1056.42,1045.86,1049.38,1558500,0,0,80.37,81.28,80.08,80.88,24489100,0.0,0
2017-12-11,179.3,180.22,178.8,179.04,13168600,0,0,40.78,41.67,40.68,41.61,141095200,0.0,0.0,1164.6,1169.9,1157.0,1168.92,2363500,0,0,187.85,189.42,185.91,186.22,5298600,0,0,1051.11,1056.0,1044.12,1051.97,1162700,0,0,81.0,82.04,80.84,81.91,22857900,0.0,0
2017-12-12,178.6,179.18,176.6,176.96,16854100,0,0,41.49,41.54,41.32,41.38,77636800,0.0,0.0,1166.51,1173.6,1161.61,1165.08,2235900,0,0,186.01,187.85,184.82,185.73,4265900,0,0,1050.0,1062.5,1044.87,1048.77,1694100,0,0,81.98,82.7,81.76,82.24,23924100,0.0,0
2017-12-13,177.3,179.16,177.25,178.3,14615700,0,0,41.57,41.82,41.45,41.52,95273600,0.0,0.0,1170.0,1170.87,1160.27,1164.13,2616800,0,0,186.1,188.69,185.41,187.86,4710000,0,0,1052.08,1055.48,1046.58,1051.39,1384000,0,0,82.4,82.65,81.85,82.02,22062700,0.0,0
2017-12-14,178.29,180.36,177.68,178.39,13591000,0,0,41.55,41.72,41.37,41.5,81906000,0.0,0.0,1163.71,1177.93,1162.45,1174.26,3214300,0,0,187.98,192.64,187.2,189.56,7792800,0,0,1055.49,1067.08,1053.6,1057.47,1548100,0,0,82.1,82.52,81.23,81.39,19306000,0.0,0
2017-12-15,179.02,180.49,178.36,180.18,28463100,0,0,41.84,41.97,41.56,41.93,160677200,0.0,0.0,1179.03,1182.75,1169.33,1179.14,4778600,0,0,189.61,191.43,188.01,190.12,7285600,0,0,1063.78,1075.25,1060.09,1072.0,3188000,0,0,81.94,83.69,81.57,83.46,53936700,0.0,0
2017-12-18,181.01,181.3,179.75,180.82,17265400,0,0,42.14,42.7,42.14,42.52,117684400,0.0,0.0,1187.37,1194.78,1180.91,1190.58,2947600,0,0,191.2,191.65,188.9,190.42,5011000,0,0,1076.45,1086.49,1070.37,1085.09,1514600,0,0,83.72,84.09,82.87,83.01,22283800,0.0,0
2017-12-19,179.95,180.08,178.22,179.51,14920600,0,0,42.18,42.27,41.95,42.06,109745600,0.0,0.0,1189.15,1192.97,1179.14,1187.38,2587800,0,0,190.18,190.3,185.75,187.02,7033000,0,0,1083.02,1084.97,1072.27,1079.78,1317500,0,0,82.98,82.98,81.95,82.48,23524800,0.0,0
2017-12-20,179.81,179.81,177.36,177.89,11860500,0,0,42.14,42.28,41.75,42.02,93902400,0.0,0.0,1190.5,1191.0,1176.0,1177.62,2371200,0,0,187.94,189.11,185.26,188.82,6545400,0,0,1080.92,1081.23,1068.6,1073.56,1436400,0,0,82.84,82.94,81.41,82.19,23674900,0.0,0
2017-12-21,177.94,178.68,177.05,177.45,11600700,0,0,41.97,42.42,41.96,42.18,83799600,0.0,0.0,1175.9,1179.17,1167.64,1174.76,2123100,0,0,189.44,190.95,187.58,188.62,4729800,0,0,1075.39,1077.52,1069.0,1070.85,1282000,0,0,82.7,82.74,82.07,82.17,17990700,0.0,0
2017-12-22,177.14,177.53,176.23,177.2,8509500,0,0,42.1,42.28,42.05,42.18,65397600,0.0,0.0,1172.08,1174.62,1167.83,1168.36,1585100,0,0,188.33,190.95,186.8,189.94,3878900,0,0,1070.0,1071.72,1067.64,1068.86,889400,0,0,82.07,82.29,81.61,82.18,14145800,0.0,0
2017-12-26,176.63,177.0,174.67,175.99,8897300,0,0,41.16,41.32,40.89,41.11,132742000,0.0,0.0,1168.36,1178.32,1160.55,1176.76,2005200,0,0,189.78,189.94,186.4,187.76,3045700,0,0,1068.64,1068.86,1058.64,1065.85,918800,0,0,81.98,82.2,81.72,82.07,9891200,0.0,0
2017-12-27,176.55,178.44,176.26,177.62,9496100,0,0,40.99,41.16,40.9,41.11,85992800,0.0,0.0,1179.91,1187.29,1175.61,1182.26,1867200,0,0,187.8,188.1,185.22,186.24,4002100,0,0,1066.6,1068.27,1058.38,1060.2,1116200,0,0,82.31,82.63,81.9,82.37,14678000,0.0,0
2017-12-28,177.95,178.94,177.68,177.92,12220800,0,0,41.21,41.41,41.08,41.23,65920800,0.0,0.0,1189.0,1190.1,1184.38,1186.1,1841700,0,0,187.18,194.49,186.85,192.71,10107400,0,0,1062.25,1064.84,1053.38,1055.95,994200,0,0,82.55,82.58,82.21,82.38,10594300,0.0,0
2017-12-29,178.0,178.85,176.46,176.46,10261500,0,0,41.09,41.11,40.78,40.78,103999600,0.0,0.0,1182.35,1184.0,1167.5,1169.47,2688400,0,0,192.51,193.95,191.22,191.96,5187600,0,0,1055.49,1058.05,1052.7,1053.4,1180300,0,0,82.29,82.7,82.17,82.21,18717400,0.0,0
2018-01-02,177.68,181.58,177.55,181.42,18151900,0,0,41.01,41.52,40.79,41.51,102223600,0.0,0.0,1172.0,1190.0,1170.51,1189.01,2694500,0,0,196.1,201.65,195.42,201.07,10966900,0,0,1053.02,1075.98,1053.02,1073.21,1588300,0,0,82.77,82.95,82.17,82.6,22483800,0.0,0
2018-01-03,181.88,184.78,181.33,184.67,16886600,0,0,41.58,42.07,41.44,41.51,118071600,0.0,0.0,1188.3,1205.49,1188.3,1204.2,3108800,0,0,202.05,206.21,201.5,205.05,8591400,0,0,1073.93,1096.1,1073.43,1091.52,1565900,0,0,82.71,83.14,82.62,82.98,26061400,0.0,0
2018-01-04,184.9,186.21,184.1,184.33,13880900,0,0,41.58,41.81,41.47,41.7,89738400,0.0,0.0,1205.0,1215.87,1204.66,1209.59,3022100,0,0,206.2,207.05,204.0,205.63,6029600,0,0,1097.09,1104.08,1094.26,1095.76,1302600,0,0,83.21,84.24,83.2,83.71,21912000,0.0,0
2018-01-05,185.59,186.9,184.93,186.85,13574500,0,0,41.8,42.26,41.7,42.17,94640000,0.0,0.0,1217.51,1229.14,1210.0,1229.14,3544700,0,0,207.25,210.02,205.59,209.99,7033200,0,0,1103.45,1113.58,1101.8,1110.29,1512500,0,0,84.24,84.96,84.02,84.75,23407100,0.0,0
2018-01-08,187.2,188.9,186.33,188.28,17994700,0,0,42.02,42.32,41.92,42.02,82271200,0.0,0.0,1236.0,1253.08,1232.03,1246.87,4279500,0,0,210.02,212.5,208.44,212.05,5580200,0,0,1111.0,1119.16,1110.0,1114.21,1232200,0,0,84.76,85.13,84.18,84.84,22113000,0.0,0
2018-01-09,188.7,188.8,187.1,187.87,12393100,0,0,42.07,42.19,41.79,42.01,86336000,0.0,0.0,1256.9,1259.33,1241.76,1252.7,3661300,0,0,212.11,212.98,208.59,209.31,6125900,0,0,1118.44,1118.44,1108.2,1112.79,1340400,0,0,85.19,85.27,84.43,84.78,19484300,0.0,0
2018-01-10,186.94,187.89,185.63,187.84,10529900,0,0,41.73,42.01,41.69,42.0,95839600,0.0,0.0,1245.15,1254.33,1237.23,1254.33,2686000,0,0,207.57,213.64,206.91,212.52,5951500,0,0,1107.0,1112.78,1103.98,1110.14,1036700,0,0,84.43,84.75,84.0,84.4,18652200,0.0,0
2018-01-11,188.4,188.4,187.38,187.77,9588600,0,0,42.08,42.29,42.05,42.24,74670800,0.0,0.0,1259.74,1276.77,1256.46,1276.68,3125000,0,0,214.29,217.75,213.35,217.24,7659500,0,0,1112.31,1114.85,1106.48,1112.05,1121200,0,0,84.69,84.69,83.84,84.65,17808900,0.0,0
2018-01-12,178.06,181.48,177.4,179.37,77551300,0,0,42.46,42.74,42.33,42.68,101672400,0.0,0.0,1273.39,1305.76,1273.39,1305.2,5443700,0,0,217.18,222.55,216.0,221.23,8199400,0,0,1110.1,1131.3,1108.01,1130.65,1929300,0,0,85.21,86.28,85.0,86.11,24271500,0.0,0
2018-01-16,181.5,181.75,178.04,178.39,36183800,0,0,42.87,43.23,42.45,42.46,118263600,0.0,0.0,1323.0,1339.94,1292.3,1304.86,7220700,0,0,224.24,226.07,217.2,221.53,13516100,0,0,1140.31,1148.88,1126.66,1130.7,1823100,0,0,86.59,87.25,84.58,84.91,36599700,0.0,0
2018-01-17,179.26,179.32,175.8,177.6,27992400,0,0,42.45,43.2,42.19,43.16,137547200,0.0,0.0,1312.24,1314.0,1280.88,1295.0,5253800,0,0,221.0,221.15,216.32,217.5,9123100,0,0,1136.36,1139.32,1123.49,1139.1,1391500,0,0,85.61,86.76,85.29,86.63,25621200,0.0,0
2018-01-18,178.13,180.98,177.08,179.8,23304900,0,0,43.23,43.4,42.96,43.2,124773600,0.0,0.0,1293.95,1304.6,1284.02,1293.32,4026900,0,0,220.34,220.58,216.55,220.33,8225300,0,0,1139.35,1140.59,1124.46,1135.97,1374900,0,0,86.3,87.14,86.16,86.59,24159700,0.0,0
2018-01-19,180.85,182.37,180.17,181.29,26826500,0,0,43.04,43.28,42.75,43.01,129700400,0.0,0.0,1312.0,1313.0,1292.99,1294.58,4578500,0,0,222.75,223.49,218.5,220.46,10548600,0,0,1138.03,1143.78,1132.5,1143.5,1527600,0,0,86.63,87.08,86.16,86.49,36875000,0.0,0
